ASSET,ELNATR,ID,LNLSGR,PTXNOINC,STNAME,YEAR
5345833,46385,SI_1991_PR,3122226,8330,Puerto Rico,1991
6381596,98146,SI_1991_RI,4655889,-138043,Rhode Island,1991
10694561,45188,SI_1991_SC,8153633,81547,South Carolina,1991
1171151,14435,SI_1991_SD,791753,142,South Dakota,1991
9546439,47435,SI_1991_TN,5879634,60488,Tennessee,1991
48863933,93050,SI_1991_TX,18446661,248687,Texas,1991
3018362,25013,SI_1991_UT,1877232,13529,Utah,1991
19108554,181894,SI_1991_VA,12532832,-297804,Virginia,1991
47312,745,SI_1991_VI,36272,513,Virgin Islands Of The U.S.,1991
2160267,27236,SI_1991_VT,1654423,-19300,Vermont,1991
29304085,91008,SI_1991_WA,21219430,407076,Washington,1991
17810272,37482,SI_1991_WI,12556093,163533,Wisconsin,1991
1228303,3728,SI_1991_WV,748660,8063,West Virginia,1991
811802,1086,SI_1991_WY,435411,3076,Wyoming,1991
223999,443,SI_1992_AK,90730,3253,Alaska,1992
4892759,11183,SI_1992_AL,3023176,31563,Alabama,1992
2640715,5987,SI_1992_AR,1368327,33777,Arkansas,1992
180481,299,SI_1992_AZ,92139,-1031,Arizona,1992
272529304,2355527,SI_1992_CA,203332459,305764,California,1992
4643080,37565,SI_1992_CO,2809007,-50022,Colorado,1992
40047966,318291,SI_1992_CT,28058741,-11772,Connecticut,1992
2062825,11,SI_1992_DE,1176590,31527,Delaware,1992
38245468,170910,SI_1992_FL,23296013,309098,Florida,1992
13633140,52149,SI_1992_GA,8775553,87429,Georgia,1992
188924,27,SI_1992_GU,155478,6443,Guam,1992
7179599,7357,SI_1992_HI,4483005,82038,Hawaii,1992
4637897,5285,SI_1992_IA,2700657,60574,Iowa,1992
477414,319,SI_1992_ID,264707,5972,Idaho,1992
